LC1,id,class,class_abbr,color
A,1,Urban,U,"#b11114"
B,2,Cropland,CL,"#ffff99"
C11,3,Broadleaf Woodland,BW,"#4fc029"
C12,4,Coniferous Woodland,CW,"#1f601a"
C21,3,Broadleaf Woodland,BW,"#4fc029"
C22,4,Coniferous Woodland,CW,"#1f601a"
D,5,Shrubland,SL,"#d2955c"
E,6,Grassland,GL,"#ffbc34"
F,7,Bare Soil,BS,"#b15928"
G,8,Water,W,"#1f78b4"
H,9,Wetland,WL,"#a6cee3"
